Country,Country Code,Continent,Region,Date,Confirmed,Suspected,Death,Recovered
Afghanistan,4,Asia,Southern Asia,20200122,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200123,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200124,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200125,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200126,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200127,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200128,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200129,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200130,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200131,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200201,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200202,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200203,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200204,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200205,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200206,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200207,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200208,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200209,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200210,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200211,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200212,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200213,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200214,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200215,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200216,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200217,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200218,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200219,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200220,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200221,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200222,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200223,0,0,0,0
Afghanistan,4,Asia,Southern Asia,20200224,1,0,0,0
Afghanistan,4,Asia,Southern Asia,20200225,1,0,0,0
Afghanistan,4,Asia,Southern Asia,20200226,1,0,0,0
Afghanistan,4,Asia,Southern Asia,20200227,1,0,0,0
Afghanistan,4,Asia,Southern Asia,20200228,1,0,0,0
Afghanistan,4,Asia,Southern Asia,20200229,1,0,0,0
Afghanistan,4,Asia,Southern Asia,20200301,1,0,0,0
Afghanistan,4,Asia,Southern Asia,20200302,1,0,0,0
Afghanistan,4,Asia,Southern Asia,20200303,1,0,0,0
Afghanistan,4,Asia,Southern Asia,20200304,1,0,0,0
Afghanistan,4,Asia,Southern Asia,20200305,1,0,0,0
Afghanistan,4,Asia,Southern Asia,20200306,1,0,0,0
Afghanistan,4,Asia,Southern Asia,20200307,1,0,0,0
Afghanistan,4,Asia,Southern Asia,20200308,4,0,0,0
Afghanistan,4,Asia,Southern Asia,20200309,4,0,0,0
Afghanistan,4,Asia,Southern Asia,20200310,5,0,0,0
Afghanistan,4,Asia,Southern Asia,20200311,7,0,0,0
Afghanistan,4,Asia,Southern Asia,20200312,7,0,0,0
Afghanistan,4,Asia,Southern Asia,20200313,7,0,0,0
Afghanistan,4,Asia,Southern Asia,20200314,11,0,0,0
Afghanistan,4,Asia,Southern Asia,20200315,16,2,0,0
Afghanistan,4,Asia,Southern Asia,20200316,21,3,0,1
Afghanistan,4,Asia,Southern Asia,20200317,22,2,0,1
Afghanistan,4,Asia,Southern Asia,20200318,22,1,0,1
